Symbol;Name;ListedDt;LastDt;Status
ALVO;Alvotech Ordinary Shares;2022-06-16T00:00:00;2022-09-16T00:00:00;Active
ALVOW;Alvotech Warrant;2022-06-16T00:00:00;2022-09-16T00:00:00;Active
ALVR;Allovir;2020-07-30T00:00:00;2022-09-09T00:00:00;Active
ALX;Alexander's;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
ALXO;Alx Oncology Holdings;2020-07-17T00:00:00;2022-09-16T00:00:00;Active
ALYA;Alithya Class A Subordinate Voting Shares;2018-11-01T00:00:00;2022-09-16T00:00:00;Active
ALZN;Alzamend Neuro;2021-06-15T00:00:00;2022-09-16T00:00:00;Active
AM;Antero Midstream Corporation;2017-05-04T00:00:00;2022-09-09T00:00:00;Active
AMAL;Amalgamated Bank;2018-08-09T00:00:00;2022-09-09T00:00:00;Active
AMAM;Ambrx Biopharma;2021-06-18T00:00:00;2022-09-16T00:00:00;Active
AMAT;Applied Materials;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AMBA;Ambarella;2012-10-10T00:00:00;2022-09-16T00:00:00;Active
AMBC;Ambac Financial;2013-05-01T00:00:00;2022-09-16T00:00:00;Active
AMBO;Ambow Education Holding ADS Each Representing Two Class A Ordinary Shares;2011-06-01T00:00:00;2022-09-16T00:00:00;Active
AMBP;Ardagh Metal Packaging S.A. Ordinary Shares;2020-09-29T00:00:00;2022-09-09T00:00:00;Active
AMC;Amc Entertainment;2013-12-18T00:00:00;2022-09-09T00:00:00;Active
AMCR;Amcor Plc;2019-06-11T00:00:00;2022-09-09T00:00:00;Active
AMCX;Amc Networks;2011-06-16T00:00:00;2022-09-16T00:00:00;Active
AMD;Advanced Micro Devices Inc;2005-01-03T00:00:00;2022-09-16T00:00:00;Active
AME;Ametek;2005-01-03T00:00:00;2022-09-16T00:00:00;Active
AMED;Amedisys;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AMEH;Apollo Medical;2015-06-03T00:00:00;2022-09-16T00:00:00;Active
AMG;Affiliated Managers Inc;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AMGN;Amgen;2005-01-03T00:00:00;2022-09-09T00:00:00;Active
AMH;American Homes 4 Rent;2013-08-01T00:00:00;2022-09-16T00:00:00;Active
AMK;Assetmark Financial;2019-07-18T00:00:00;2022-09-16T00:00:00;Active
AMKR;Amkor Technology;2007-01-03T00:00:00;2022-09-09T00:00:00;Active
AMLX;Amylyx Pharmaceuticals,;2022-01-07T00:00:00;2022-09-16T00:00:00;Active
AMN;Amn Healthcare Services;2007-04-30T00:00:00;2022-09-16T00:00:00;Active
AMNB;American National;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
AMOT;Allied Motion;2007-05-16T00:00:00;2022-09-09T00:00:00;Active
