Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
ARJN,Aranjin Resources Ltd,Basic Materials,Copper,EQUITY,,https://aranjinresources.com,https://logo.clearbit.com/aranjinresources.com,VAN,ARANJIN RESOURCES LTD,Aranjin Resources Ltd.,ca_market,,8076930,ARJN.V,TSXV
ARK,Arras Minerals Corp,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.arrasminerals.com,https://logo.clearbit.com/arrasminerals.com,VAN,ARRAS MINERALS CORP,Arras Minerals Corp.,ca_market,,,ARK.V,TSXV
ARL.P,Aurum Lake Mining Corp,,,,,,,,,,,,,ARL.P.V,TSXV
AROW.P,Four Arrows Capital Corp,,,,,,,,,,,,,AROW.P.V,TSXV
ART,Arht Media Inc,Technology,Software—Application,EQUITY,,https://www.arhtmedia.com,https://logo.clearbit.com/arhtmedia.com,VAN,ARHT MEDIA INC,ARHT Media Inc.,ca_market,,21311680,ART.V,TSXV
ART.WT,Arht Media Inc WT,,,,,,,,,,,,,ART.WT.V,TSXV
ARTG,Artemis Gold Inc,Basic Materials,Gold,EQUITY,,https://www.artemisgoldinc.com,https://logo.clearbit.com/artemisgoldinc.com,VAN,ARTEMIS GOLD INC,Artemis Gold Inc.,ca_market,,594091392,ARTG.V,TSXV
ARU,Aurania Resources Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.aurania.com,https://logo.clearbit.com/aurania.com,VAN,AURANIA RESOURCES LTD,Aurania Resources Ltd.,ca_market,,24680858,ARU.V,TSXV
ARU.WT.B,Aurania Resources Ltd,,,,,,,,,,,,,ARU.WT.B.V,TSXV
ASG,Aurora Spine Corp,Healthcare,Medical Devices,EQUITY,,https://www.aurora-spine.com,https://logo.clearbit.com/aurora-spine.com,VAN,AURORA SPINE CORPORATION,Aurora Spine Corporation,ca_market,,31696988,ASG.V,TSXV
ASL,Argentum Silver Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.argentumsilvercorp.com,https://logo.clearbit.com/argentumsilvercorp.com,VAN,ARGENTUM SILVER CORP,Argentum Silver Corp.,ca_market,,4127880,ASL.V,TSXV
AST,Astron Connect Inc,Consumer Defensive,Packaged Foods,EQUITY,,https://www.astronconnect.ca,https://logo.clearbit.com/astronconnect.ca,VAN,ASTRON CONNECT INC,Astron Connect Inc.,ca_market,,782842,AST.V,TSXV
ASTR,Astra Exploration Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://astra-exploration.com,https://logo.clearbit.com/astra-exploration.com,VAN,ASTRA EXPLORATION INC,Astra Exploration Inc.,ca_market,,,ASTR.V,TSXV
ATC,Atac Resources Ltd,Basic Materials,Gold,EQUITY,,https://www.atacresources.com,https://logo.clearbit.com/atacresources.com,VAN,ATAC Resources Ltd.,ATAC Resources Ltd.,ca_market,,15668816,ATC.V,TSXV
ATI,Altai Resources Inc,Energy,Oil & Gas E&P,EQUITY,,https://www.altairesources.com,https://logo.clearbit.com/altairesources.com,VAN,Altai Resources Inc,Altai Resources Inc.,ca_market,,3362016,ATI.V,TSXV
ATLY,Altaley Mining Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.altaleymining.com,https://logo.clearbit.com/altaleymining.com,VAN,ALTALEY MINING CORPORATION,Altaley Mining Corporation,ca_market,,30540598,ATLY.V,TSXV
