Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
M0EB,FTSE Euromid Eurobloc,,,INDEX,,,,FSI,FTSE EUROMID EBLOC,,gb_market,,,M0EB.L,LSE
M0X,FTSE Euromid,,,INDEX,,,,FSI,FTSE EUROMID,,gb_market,,,M0X.L,LSE
M0XU,FTSE Euromid Ex UK,,,INDEX,,,,FSI,FTSE EUROMID EX UK,,gb_market,,,M0XU.L,LSE
MAB,Mitchells & Butlers Plc,Consumer Cyclical,Restaurants,EQUITY,,https://www.mbplc.com,https://logo.clearbit.com/mbplc.com,LSE,MITCHELLS & BUTLERS PLC ORD 8 1,Mitchells & Butlers plc,gb_market,,852240384,MAB.L,LSE
MAB1,Mortgage Advice Bureau [,Financial Services,Mortgage Finance,EQUITY,,https://www.mortgageadvicebureau.com,https://logo.clearbit.com/mortgageadvicebureau.com,LSE,MORTGAGE ADVICE BUREAU (HOLDING,Mortgage Advice Bureau (Holdings) plc,gb_market,,446492992,MAB1.L,LSE
MAC,Marechale Capital Plc,Financial Services,Capital Markets,EQUITY,,https://marechalecapital.com,https://logo.clearbit.com/marechalecapital.com,LSE,MARECHALE CAPITAL PLC ORD 0.8P,Marechale Capital Plc,gb_market,,1968261,MAC.L,LSE
MACF,Macfarlane Group Plc,Consumer Cyclical,Packaging & Containers,EQUITY,,https://www.macfarlanegroup.com,https://logo.clearbit.com/macfarlanegroup.com,LSE,MACFARLANE GROUP PLC ORD 25P,Macfarlane Group PLC,gb_market,,145304768,MACF.L,LSE
MADE,,Consumer Cyclical,Internet Retail,EQUITY,,https://www.made.com,https://logo.clearbit.com/made.com,LSE,MADE.COM GROUP PLC ORD GBP0.000,Made.com Group Plc,gb_market,,15660219,MADE.L,LSE
MAFL,Mineral & Financial Investment Ltd,Financial Services,Asset Management,EQUITY,,https://www.mineralandfinancial.com,https://logo.clearbit.com/mineralandfinancial.com,LSE,MINERAL & FINANCIAL INVESTMENTS,Mineral & Financial Investments Limited,gb_market,,4304086,MAFL.L,LSE
MAGI,SSGA SPDR ETFS Europe II,,,ETF,,,,LSE,SSGA SPDR ETFS EUROPE II PLC SP,SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF,gb_market,State Street Global Advisors Ltd,,MAGI.L,LSE
MAI,Maintel Holdings Plc,Communication Services,Telecom Services,EQUITY,,https://www.maintel.co.uk,https://logo.clearbit.com/maintel.co.uk,LSE,MAINTEL HOLDINGS PLC ORD 1P,Maintel Holdings Plc,gb_market,,36621824,MAI.L,LSE
MAJE,Majedie Investments Plc,Financial Services,Asset Management,EQUITY,,https://www.majedie.co.uk,https://logo.clearbit.com/majedie.co.uk,LSE,MAJEDIE INVESTMENTS PLC 10P,Majedie Investments PLC,gb_market,,88772984,MAJE.L,LSE
MANO,Manolete Partners Plc,Industrials,Consulting Services,EQUITY,,https://www.manolete-partners.com,https://logo.clearbit.com/manolete-partners.com,LSE,MANOLETE PARTNERS PLC ORD 0.4P,Manolete Partners Plc,gb_market,,96070256,MANO.L,LSE
MARS,Marston's Plc,Consumer Cyclical,Restaurants,EQUITY,,https://www.marstonspubs.co.uk,https://logo.clearbit.com/marstonspubs.co.uk,LSE,MARSTON'S PLC ORD 7.375P,Marston's PLC,gb_market,,247067600,MARS.L,LSE
MAST,,Utilities,Utilities—Renewable,EQUITY,,https://www.med.energy,https://logo.clearbit.com/med.energy,LSE,MAST ENERGY DEVELOPMENTS PLC OR,MAST Energy Developments PLC,gb_market,,6581505,MAST.L,LSE
MATD,Petro Matad Limited,Energy,Oil & Gas E&P,EQUITY,,https://www.petromatadgroup.com,https://logo.clearbit.com/petromatadgroup.com,LSE,PETRO MATAD LIMITED ORD USD0.01,Petro Matad Limited,gb_market,,20851276,MATD.L,LSE
MATE,Jpmorgan Multi-Asset Trust Plc,Financial Services,Asset Management,EQUITY,,https://am.jpmorgan.com/gb/en/asset-management/gim/per/products/investment-trusts/jpm-multi-asset-trust-plc,https://logo.clearbit.com/am.jpmorgan.com,LSE,JPMORGAN MULTI-ASSET GROWTH & I,JPMorgan Multi-Asset Growth & Income plc,gb_market,,73244912,MATE.L,LSE
MAV4,Maven Income & Growth Vc,Financial Services,Asset Management,EQUITY,,https://www.mavencp.com/investors/venture-capital-trusts/maven-income-and-growth-vct-4,https://logo.clearbit.com/mavencp.com,LSE,MAVEN INCOME & GROWTH VCT 4 PLC,Maven Income and Growth VCT 4 PLC,gb_market,,69255904,MAV4.L,LSE
MAVT,,Financial Services,Asset Management,EQUITY,,https://www.senecaim.com/sigt,https://logo.clearbit.com/senecaim.com,LSE,MOMENTUM MULTI-ASSET VALUE TRUS,Momentum Multi-Asset Value Trust plc,gb_market,,51470992,MAVT.L,LSE
MAW,Maruwa Co. Ltd,Technology,Electronic Components,EQUITY,,https://www.maruwa-g.com,https://logo.clearbit.com/maruwa-g.com,LSE,MARUWA CO. LTD JPY50,"Maruwa Co., Ltd.",gb_market,,232889384960,MAW.L,LSE
MBH,Michelmersh Brick Holdings Plc,Basic Materials,Building Materials,EQUITY,,https://www.mbhplc.co.uk,https://logo.clearbit.com/mbhplc.co.uk,LSE,MICHELMERSH BRICK HOLDINGS PLC ,Michelmersh Brick Holdings plc,gb_market,,86069528,MBH.L,LSE
MBO,Mobilityone Limited,Technology,Information Technology Services,EQUITY,,https://www.mobilityone.com.my,https://logo.clearbit.com/mobilityone.com.my,LSE,MOBILITYONE LIMITED ORD 2.5P,MobilityOne Limited,gb_market,,7972425,MBO.L,LSE
MBT,Mobile Tornado Group Plc,Technology,Software—Application,EQUITY,,https://www.mobiletornado.com,https://logo.clearbit.com/mobiletornado.com,LSE,MOBILE TORNADO GROUP PLC ORD 2P,Mobile Tornado Group plc,gb_market,,3227832,MBT.L,LSE
MCB,Mcbride Plc,Consumer Defensive,Household & Personal Products,EQUITY,,https://www.mcbride.co.uk,https://logo.clearbit.com/mcbride.co.uk,LSE,MCBRIDE PLC ORD 10P,McBride plc,gb_market,,42450960,MCB.L,LSE
MCIX,FTSE Mid 250 [Exit],,,INDEX,,,,LSE,FTSE 250 (Ex.Investment Compani,,gb_market,,,MCIX.L,LSE
MCL,Morses Club Plc,Financial Services,Credit Services,EQUITY,,https://www.morsesclubplc.com,https://logo.clearbit.com/morsesclubplc.com,LSE,MORSES CLUB PLC ORD GBP0.01,Morses Club PLC,gb_market,,6263186,MCL.L,LSE
MCM,Mc Mining Ltd,Energy,Thermal Coal,EQUITY,,https://www.mcmining.co.za,https://logo.clearbit.com/mcmining.co.za,LSE,MC MINING LIMITED ORD NPV,MC Mining Limited,gb_market,,31433090,MCM.L,LSE
