Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
CNQ,Carbine Tungsten Limited,Utilities,Utilities—Regulated Water,EQUITY,,https://www.cleanteqwater.com,https://logo.clearbit.com/cleanteqwater.com,ASX,CLEAN TEQ FPO,Clean TeQ Water Limited,au_market,,25683064,CNQ.AX,ASX
CNR,Coonawarra Australia Property Trust,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cannonres.com.au,https://logo.clearbit.com/cannonres.com.au,ASX,CANNON RES FPO,Cannon Resources Limited,au_market,,24932152,CNR.AX,ASX
CNU,Chorus Limited,Communication Services,Telecom Services,EQUITY,,https://www.chorus.co.nz,https://logo.clearbit.com/chorus.co.nz,ASX,CHORUS FPO NZX,Chorus Limited,au_market,,3106542336,CNU.AX,ASX
CNW,Cirrus Networks Holdings Limited,Technology,Information Technology Services,EQUITY,,https://www.cirrusnetworks.com.au,https://logo.clearbit.com/cirrusnetworks.com.au,ASX,CIRRUS NET FPO,Cirrus Networks Holdings Limited,au_market,,34410224,CNW.AX,ASX
COB,Cobalt Blue Holdings Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cobaltblueholdings.com,https://logo.clearbit.com/cobaltblueholdings.com,ASX,COBALT BLU FPO,Cobalt Blue Holdings Limited,au_market,,260787120,COB.AX,ASX
COD,Cossack Energy Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.codaminerals.com,https://logo.clearbit.com/codaminerals.com,ASX,CODAMINLTD FPO,Coda Minerals Limited,au_market,,37237688,COD.AX,ASX
COE,Cooper Energy Ltd,Energy,Oil & Gas E&P,EQUITY,,https://www.cooperenergy.com.au,https://logo.clearbit.com/cooperenergy.com.au,ASX,COOPER FPO,Cooper Energy Limited,au_market,,424509792,COE.AX,ASX
COEKOA,Cooper Energy Limited,,,,,,,,,,,,,COEKOA.AX,ASX
COF,Coffey International Ltd,Real Estate,REIT—Office,EQUITY,,https://www.centuria.com.au,https://logo.clearbit.com/centuria.com.au,ASX,CENTOREIT ORD UNIT,Centuria Office REIT,au_market,,982809280,COF.AX,ASX
COG,Consolidated Operations Group Limited,Financial Services,Capital Markets,EQUITY,,https://www.coglimited.com.au,https://logo.clearbit.com/coglimited.com.au,ASX,CONOPERGRP FPO,COG Financial Services Limited,au_market,,344999104,COG.AX,ASX
COH,Cochlear Ltd,Healthcare,Medical Devices,EQUITY,,https://www.cochlear.com,https://logo.clearbit.com/cochlear.com,ASX,COCHLEAR FPO,Cochlear Limited,au_market,,14256095232,COH.AX,ASX
COHKOG,Cochlear Limited,,,,,,,,,,,,,COHKOG.AX,ASX
COHKOP,Cochlear Limited,,,,,,,,,,,,,COHKOP.AX,ASX
COHKOR,Cochlear Limited,,,,,,,,,,,,,COHKOR.AX,ASX
COI,Comet Ridge Ltd,Energy,Oil & Gas E&P,EQUITY,,https://www.cometridge.com.au,https://logo.clearbit.com/cometridge.com.au,ASX,COMETRIDGE FPO,Comet Ridge Limited,au_market,,159106288,COI.AX,ASX
COL,Coles Group Limited.,Consumer Defensive,Grocery Stores,EQUITY,,https://www.colesgroup.com.au,https://logo.clearbit.com/colesgroup.com.au,ASX,COLESGROUP FPO,Coles Group Limited,au_market,,23086819328,COL.AX,ASX
COLKOA,Coles Group Limited.,,,,,,,,,,,,,COLKOA.AX,ASX
COLKOC,Coles Group Limited.,,,,,,,,,,,,,COLKOC.AX,ASX
COLKOD,Coles Group Limited.,,,,,,,,,,,,,COLKOD.AX,ASX
COLKOE,COLKOE,,,,,,,,,,,,,COLKOE.AX,ASX
COLKOF,COLKOF,,,,,,,,,,,,,COLKOF.AX,ASX
COO,Cosmos Ltd,Healthcare,Health Information Services,EQUITY,,https://www.corumgroup.com.au,https://logo.clearbit.com/corumgroup.com.au,ASX,CORUM GRP FPO,Corum Group Limited,au_market,,22676764,COO.AX,ASX
CORE,Etfs Morningstar Global Technology,,,ETF,,,,ASX,ETFS CORE ETF UNITS,ETFS Global Core Infrastructure ETF,au_market,,,CORE.AX,ASX
COS,Cool or Cosy Ltd,Technology,Information Technology Services,EQUITY,,https://www.cosol.global,https://logo.clearbit.com/cosol.global,ASX,COSOL FPO,COSOL Limited,au_market,,85033808,COS.AX,ASX
COY,Coppermoly Ltd,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.coppermoly.com.au,https://logo.clearbit.com/coppermoly.com.au,ASX,COPPERMOLY FPO,Coppermoly Limited,au_market,,21939598,COY.AX,ASX
CPH,CPH Investment corp,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.cresopharma.com,https://logo.clearbit.com/cresopharma.com,ASX,CRESO FPO,Creso Pharma Limited,au_market,,46602060,CPH.AX,ASX
CPHO,Creso Pharma Limited,,,,,,,,,,,,,CPHO.AX,ASX
CPHOA,CPHOA,,,,,,,,,,,,,CPHOA.AX,ASX
CPM,Cooper Metals Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://coopermetals.com.au,https://logo.clearbit.com/coopermetals.com.au,ASX,COOPERMET FPO,Cooper Metals Limited,au_market,,16000000,CPM.AX,ASX
CPN,Carpathian Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.caspin.com.au,https://logo.clearbit.com/caspin.com.au,ASX,CASPIN FPO,Caspin Resources Limited,au_market,,49328868,CPN.AX,ASX
CPO,Culpeo Minerals Limited,Basic Materials,Copper,EQUITY,,https://www.culpeominerals.com.au,https://logo.clearbit.com/culpeominerals.com.au,ASX,CULPEO FPO,Culpeo Minerals Limited,au_market,,8278755,CPO.AX,ASX
CPT,Capital Intelligence Ltd,Technology,Software—Infrastructure,EQUITY,,https://www.cipherpoint.com,https://logo.clearbit.com/cipherpoint.com,ASX,CIPHERPT FPO,Cipherpoint Limited,au_market,,1404292,CPT.AX,ASX
CPTO,CPTO,,,,,,,,,,,,,CPTO.AX,ASX
CPTOD,Cipherpoint Limited,,,,,,,,,,,,,CPTOD.AX,ASX
CPU,Computershare Ltd,Financial Services,Capital Markets,EQUITY,,https://www.computershare.com,https://logo.clearbit.com/computershare.com,ASX,CSHARE FPO,Computershare Limited,au_market,,14755137536,CPU.AX,ASX
CPUKOA,Computershare Limited.,,,,,,,,,,,,,CPUKOA.AX,ASX
CPUKOB,Computershare Limited.,,,,,,,,,,,,,CPUKOB.AX,ASX
CPUKOD,Computershare Limited.,,,,,,,,,,,,,CPUKOD.AX,ASX
CPUKOP,Computershare Limited.,,,,,,,,,,,,,CPUKOP.AX,ASX
CPUKOQ,Computershare Limited.,,,,,,,,,,,,,CPUKOQ.AX,ASX
CPUKOS,Computershare Limited.,,,,,,,,,,,,,CPUKOS.AX,ASX
CPV,Clearvue Technologies Limited,Technology,Solar,EQUITY,,https://www.clearvuepv.com,https://logo.clearbit.com/clearvuepv.com,ASX,CLEARVUE FPO,ClearVue Technologies Limited,au_market,,47623276,CPV.AX,ASX
CQE,Charter Hall Education Trust,Real Estate,REIT—Specialty,EQUITY,,https://www.charterhall.com.au/investments/funds/cqe,https://logo.clearbit.com/charterhall.com.au,ASX,CHSOCINFRA UNIT,Charter Hall Social Infrastructure REIT,au_market,,1307298560,CQE.AX,ASX
CQR,Charter Hall Retail Reit,Real Estate,REIT—Retail,EQUITY,,https://www.charterhall.com.au/investments/funds/charter-hall-retail-reit,https://logo.clearbit.com/charterhall.com.au,ASX,CHRETAILRT UNIT,Charter Hall Retail REIT,au_market,,2406056704,CQR.AX,ASX
CR1,Constellation Resources Limited,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.constellationresources.com.au,https://logo.clearbit.com/constellationresources.com.au,ASX,CONSTELL FPO,Constellation Resources Limited,au_market,,7485810,CR1.AX,ASX
CR9,Corella Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.corellaresources.com.au,https://logo.clearbit.com/corellaresources.com.au,ASX,CORELLARES FPO,Corella Resources Ltd,au_market,,15299999,CR9.AX,ASX
CRB,Carbine Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.carbineresources.com.au,https://logo.clearbit.com/carbineresources.com.au,ASX,CARBINE FPO,Carbine Resources Limited,au_market,,7196580,CRB.AX,ASX
CRED,Betashares Australian Investment Grade,,,ETF,,,,ASX,BETACRED ETF UNITS,BetaShares Australian Investment Grade Corporate Bond ETF,au_market,BetaShares Capital Ltd,,CRED.AX,ASX
CRL,Comet Resources Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cometres.com.au,https://logo.clearbit.com/cometres.com.au,ASX,COMET FPO,Comet Resources Limited,au_market,,13831800,CRL.AX,ASX
CRM,Carbon Minerals NL (CRMCA),Energy,Oil & Gas E&P,EQUITY,,https://www.carbonminerals.com.au,https://logo.clearbit.com/carbonminerals.com.au,ASX,CARBON FPO,Carbon Minerals Limited,au_market,,5829085,CRM.AX,ASX
CRN,Coronado Global Resources Inc.,Basic Materials,Coking Coal,EQUITY,,https://coronadoglobal.com,https://logo.clearbit.com/coronadoglobal.com,ASX,CORONADO CDI 10:1,Coronado Global Resources Inc.,au_market,,2816435968,CRN.AX,ASX
CRR,Convenience Retail Reit,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.criticalresources.com.au,https://logo.clearbit.com/criticalresources.com.au,ASX,CRITICAL FPO,Critical Resources Limited,au_market,,72161104,CRR.AX,ASX
CRS,Croesus Mining NL,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.capriceresources.com,https://logo.clearbit.com/capriceresources.com,ASX,CAPRICE FPO,Caprice Resources Limited,au_market,,3695345,CRS.AX,ASX
CRYP,CRYP,,,ETF,,,,ASX,BETACRYP ETF UNITS,BetaShares Crypto Innovators ETF,au_market,BetaShares Capital Ltd,,CRYP.AX,ASX
CSE,Copper Strike Ltd,Basic Materials,Copper,EQUITY,,https://www.copperstrike.com.au,https://logo.clearbit.com/copperstrike.com.au,ASX,COPSTRIKE FPO,Copper Strike Limited,au_market,,19204640,CSE.AX,ASX
CSF,Centro Shopping American Trust,Consumer Defensive,Packaged Foods,EQUITY,,https://www.catalanos.net.au,https://logo.clearbit.com/catalanos.net.au,ASX,CATALANO FPO,Catalano Seafood Ltd,au_market,,,CSF.AX,ASX
CSL,CSL Ltd,Healthcare,Biotechnology,EQUITY,,https://www.csl.com.au,https://logo.clearbit.com/csl.com.au,ASX,CSL FPO,CSL Limited,au_market,,141278543872,CSL.AX,ASX
CSLKOA,Csl Limited,,,,,,,,,,,,,CSLKOA.AX,ASX
CSLKOB,Csl Limited,,,,,,,,,,,,,CSLKOB.AX,ASX
CSLKOC,Csl Limited,,,,,,,,,,,,,CSLKOC.AX,ASX
CSLKOF,Csl Limited,,,,,,,,,,,,,CSLKOF.AX,ASX
CSLKOG,Csl Limited,,,,,,,,,,,,,CSLKOG.AX,ASX
CSLKOI,Csl Limited,,,,,,,,,,,,,CSLKOI.AX,ASX
CSLKOP,Csl Limited,,,,,,,,,,,,,CSLKOP.AX,ASX
CSLKOQ,Csl Limited,,,,,,,,,,,,,CSLKOQ.AX,ASX
CSLKOV,Csl Limited,,,,,,,,,,,,,CSLKOV.AX,ASX
CSLKOW,Csl Limited,,,,,,,,,,,,,CSLKOW.AX,ASX
CSLMOT,Csl Limited,,,,,,,,,,,,,CSLMOT.AX,ASX
CSR,CSR Ltd,Industrials,Building Products & Equipment,EQUITY,,https://www.csr.com.au,https://logo.clearbit.com/csr.com.au,ASX,CSR FPO,CSR Limited,au_market,,2329838592,CSR.AX,ASX
CSRKOD,Csr Limited,,,,,,,,,,,,,CSRKOD.AX,ASX
CSRKOQ,Csr Limited,,,,,,,,,,,,,CSRKOQ.AX,ASX
CSS,Clean Seas Tuna Ltd,Consumer Defensive,Farm Products,EQUITY,,https://www.cleanseas.com.au,https://logo.clearbit.com/cleanseas.com.au,ASX,CLEAN SEAS FPO,Clean Seas Seafood Limited,au_market,,101692088,CSS.AX,ASX
CST,Cellestis Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.castile.com.au,https://logo.clearbit.com/castile.com.au,ASX,CASTILERES FPO,Castile Resources Limited,au_market,,23965200,CST.AX,ASX
CSX,Cleanspace Holdings Limited,Healthcare,Medical Devices,EQUITY,,https://www.cleanspacetechnology.com,https://logo.clearbit.com/cleanspacetechnology.com,ASX,CLEANSPACE FPO,CleanSpace Holdings Limited,au_market,,54683848,CSX.AX,ASX
