Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
MDP,Medexus Pharmaceuticals Inc,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.medexus.com,https://logo.clearbit.com/medexus.com,TOR,MEDEXUS PHARMACEUTICALS INC,Medexus Pharmaceuticals Inc.,ca_market,,22349040,MDP.TO,TSX
MDP.DB,Medexus Pharmaceuticals Inc 6.0 Pct Debs,,,,,,,,,,,,,MDP.DB.TO,TSX
MDS.UN,Healthcare Special Opp Fund,,,,,,,,,,,,,MDS.UN.TO,TSX
MDVD,Mackenzie Global Sustainable Div Idx ETF,,,ETF,,,,TOR,MACKENZIE GLOBAL SUSTAINABLE DI,Mackenzie Global Sustainable Dividend Index ETF,ca_market,Mackenzie Investments,,MDVD.TO,TSX
ME,Moneta Gold Inc,Basic Materials,Gold,EQUITY,,https://www.monetagold.com,https://logo.clearbit.com/monetagold.com,TOR,MONETA GOLD INC,Moneta Gold Inc.,ca_market,,152003840,ME.TO,TSX
MEE,Mackenzie Max Diverse Emg Mkts ETF,,,ETF,,,,TOR,MACKENZIE MAX DIVERSE EMG MKTS ,Mackenzie Maximum Diversification Emerging Markets Index ETF,ca_market,Mackenzie Financial Corporation,,MEE.TO,TSX
MEG,Meg Energy Corp,Energy,Oil & Gas E&P,EQUITY,,https://www.megenergy.com,https://logo.clearbit.com/megenergy.com,TOR,MEG ENERGY CORP.,MEG Energy Corp.,ca_market,,4588814848,MEG.TO,TSX
MEME.B,Manulife Multifactor Emerg Mkts Idx ETF,,,,,,,,,,,,,MEME.B.TO,TSX
MEQ,Mainstreet Eq J,Real Estate,Real Estate Services,EQUITY,,https://www.mainst.biz,https://logo.clearbit.com/mainst.biz,TOR,MAINSTREET EQ J,Mainstreet Equity Corp.,ca_market,,1045634240,MEQ.TO,TSX
MESH,Evolve Metaverse ETF,,,ETF,,,,TOR,EVOLVE METAVERSE ETF,Evolve Metaverse ETF,ca_market,Evolve Funds Group Inc,,MESH.TO,TSX
MEU,Mackenzie Max Diversif Dev EUR ETF,,,ETF,,,,TOR,MACKENZIE MAX DIVERSIF DEV EUR ,Mackenzie Maximum Diversification Developed Europe Index ETF,ca_market,Mackenzie Financial Corporation,,MEU.TO,TSX
MFC,Manulife Fin,Financial Services,Insurance—Life,EQUITY,,https://www.manulife.com,https://logo.clearbit.com/manulife.com,TOR,MANULIFE FIN,Manulife Financial Corporation,ca_market,,40815599616,MFC.TO,TSX
MFC.PR.B,Manulife Financial Cl A Pref Ser 2,,,,,,,,,,,,,MFC.PR.B.TO,TSX
MFC.PR.C,Manulife Financial Cl A Pref Ser 3,,,,,,,,,,,,,MFC.PR.C.TO,TSX
MFC.PR.F,Manulife Financial Cl 1 Sh Ser 3,,,,,,,,,,,,,MFC.PR.F.TO,TSX
MFC.PR.I,Manulife Financial Pref Ser 9,,,,,,,,,,,,,MFC.PR.I.TO,TSX
MFC.PR.J,Manulife Financial Class 1 Ser 11,,,,,,,,,,,,,MFC.PR.J.TO,TSX
MFC.PR.K,Manulife Financial Pref Ser 13,,,,,,,,,,,,,MFC.PR.K.TO,TSX
MFC.PR.L,Manulife Financial Pref Ser 15,,,,,,,,,,,,,MFC.PR.L.TO,TSX
MFC.PR.M,Manulife Financial Pref Ser 17,,,,,,,,,,,,,MFC.PR.M.TO,TSX
MFC.PR.N,Manulife Financial Pref Ser 19,,,,,,,,,,,,,MFC.PR.N.TO,TSX
MFC.PR.P,Manulife Financial Class 1 Sh Ser 4,,,,,,,,,,,,,MFC.PR.P.TO,TSX
MFC.PR.Q,Manulife Financial Corp Pref Series 25,,,,,,,,,,,,,MFC.PR.Q.TO,TSX
MFI,Maple Leaf Foods,Consumer Defensive,Packaged Foods,EQUITY,,https://www.mapleleaffoods.com,https://logo.clearbit.com/mapleleaffoods.com,TOR,MAPLE LEAF FOODS,Maple Leaf Foods Inc.,ca_market,,2586430464,MFI.TO,TSX
MFT,Mackenzie Floating Rate Income ETF,,,ETF,,,,TOR,MACKENZIE FLOATING RATE INCOME ,Mackenzie Floating Rate Income ETF,ca_market,Mackenzie Financial Corporation,,MFT.TO,TSX
MG,Magna International Inc,Consumer Cyclical,Auto Parts,EQUITY,,https://www.magna.com,https://logo.clearbit.com/magna.com,TOR,MAGNA INTERNATIONAL INC,Magna International Inc.,ca_market,,19663863808,MG.TO,TSX
MGA,Mega Uranium Ltd,Energy,Uranium,EQUITY,,https://www.megauranium.com,https://logo.clearbit.com/megauranium.com,TOR,MEGA URANIUM LTD.,Mega Uranium Ltd.,ca_market,,73305128,MGA.TO,TSX
MGAB,Mackenzie Global Fixed Income Alloc ETF,,,ETF,,,,TOR,MACKENZIE GLOBAL FIXED INCOME A,Mackenzie Global Fixed Income Allocation ETF,ca_market,Mackenzie Investments,,MGAB.TO,TSX
MGB,Mackenzie Core Pls Glob Fixed Inc ETF,,,ETF,,,,TOR,MACKENZIE CORE PLS GLOB FIXED I,Mackenzie Core Plus Global Fixed Income ETF,ca_market,Mackenzie Financial Corporation,,MGB.TO,TSX
MGRW,Mackenzie Growth Allocation ETF,,,ETF,,,,TOR,MACKENZIE GROWTH ALLOCATION ETF,Mackenzie Growth Allocation ETF,ca_market,Mackenzie Investments,,MGRW.TO,TSX
MHC.U,Flagship Communities Real Estate Investm,,,,,,,,,,,,,MHC.U.TO,TSX
MHC.UN,Flagship Communites REIT,,,,,,,,,,,,,MHC.UN.TO,TSX
MHCD,Middlefield Healthcare Dividend ETF,,,ETF,,,,TOR,MIDDLEFIELD HEALTHCARE DIVIDEND,Middlefield Healthcare Dividend ETF,ca_market,Middlefield Limited,,MHCD.TO,TSX
MI.UN,Minto Apartment REIT,,,,,,,,,,,,,MI.UN.TO,TSX
MIC.PR.A,Sagen MI Canada Inc,,,,,,,,,,,,,MIC.PR.A.TO,TSX
MID.UN,Mint Income Fund,,,,,,,,,,,,,MID.UN.TO,TSX
MIN,Excelsior Mining Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.excelsiormining.com,https://logo.clearbit.com/excelsiormining.com,TOR,EXCELSIOR MINING CORP,Excelsior Mining Corp.,ca_market,,43973760,MIN.TO,TSX
MINF,Middlefield Sustainable Infrastructure D,,,ETF,,,,TOR,MIDDLEFIELD SUSTAIN INFRA DIV E,Sustainable Infrastructure Division Fund,ca_market,,,MINF.TO,TSX
MINN,Middlefield Innovation Dividend ETF,,,ETF,,,,TOR,MIDDLEFIELD INNOVATION DIVIDEND,Middlefield Innovation Dividend ETF,ca_market,,,MINN.TO,TSX
MINT,Manulife Mltfactor Dev Intl Hgd ETF,,,ETF,,,,TOR,MANULIFE MLTFACTOR DEV INTL HGD,Manulife Multifactor Developed International Index ETF,ca_market,Manulife Investments,,MINT.TO,TSX
MINT.B,Manulife Mltfactor Dev Intl Uh ETF,,,,,,,,,,,,,MINT.B.TO,TSX
MIVG,Mackenzie Ivy Global Equity ETF,,,ETF,,,,TOR,MACKENZIE IVY GLOBAL EQUITY ETF,Mackenzie Ivy Global Equity ETF,ca_market,Mackenzie Financial Corporation,,MIVG.TO,TSX
MKB,Mackenzie Core Pls CDN Fixed Income ETF,,,ETF,,,,TOR,MACKENZIE CORE PLS CDN FIXED IN,Mackenzie Core Plus Canadian Fixed Income ETF,ca_market,Mackenzie Financial Corporation,,MKB.TO,TSX
MKC,Mackenzie Max Dvrs Cda Index ETF,,,ETF,,,,TOR,MACKENZIE MAX DVRS CDA INDEX ET,Mackenzie Maximum Diversification Canada Index ETF,ca_market,Mackenzie Financial Corporation,,MKC.TO,TSX
MKP,Mcan Mortgage Corp,Financial Services,Mortgage Finance,EQUITY,,https://www.mcanmortgage.com,https://logo.clearbit.com/mcanmortgage.com,TOR,MCAN MORTGAGE CORPORATION,MCAN Mortgage Corporation,ca_market,,455193504,MKP.TO,TSX
MKZ.UN,Mackenzie Mstr Un,,,,,,,,,,,,,MKZ.UN.TO,TSX
MMP.UN,Precious Metals and Mining Trust,,,,,,,,,,,,,MMP.UN.TO,TSX
MMX,Maverix Metals Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.maverixmetals.com,https://logo.clearbit.com/maverixmetals.com,TOR,MAVERIX METALS INC,Maverix Metals Inc.,ca_market,,642572480,MMX.TO,TSX
MND,Mandalay Resources Corp,Basic Materials,Gold,EQUITY,,https://www.mandalayresources.com,https://logo.clearbit.com/mandalayresources.com,TOR,MANDALAY RESOURCES CORPORATION,Mandalay Resources Corporation,ca_market,,151278192,MND.TO,TSX
MNO,Meridian Mining UK Societas,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.meridianmining.co,https://logo.clearbit.com/meridianmining.co,TOR,MERIDIAN MINING UK SOCIETAS,Meridian Mining UK Societas,ca_market,,106023640,MNO.TO,TSX
MNS,Royal CDN Mint CDN Silver Reserves Etr,,,ETF,,,,TOR,ROYAL CDN MINT CDN SILVER RESER,Royal Canadian Mint - Canadian Silver Reserves,ca_market,,,MNS.TO,TSX
MNT,Royal Canadian Mint CDN Gold Reserves,,,ETF,,,,TOR,ROYAL CANADIAN MINT CDN GOLD RE,Royal Canadian Mint - Canadian Gold Reserves,ca_market,,,MNT.TO,TSX
MNT.U,Royal Canadian Mint CDN Gld Reserves USD,,,,,,,,,,,,,MNT.U.TO,TSX
MNY,Purpose Cash Management Fund ETF,,,ETF,,,,TOR,PURPOSE CASH MANAGEMENT FUND ET,Purpose Cash Management Portfolio,ca_market,,,MNY.TO,TSX
MOGO,Mogo Inc,Technology,Software—Infrastructure,EQUITY,,https://www.mogo.ca,https://logo.clearbit.com/mogo.ca,TOR,MOGO INC,Mogo Inc.,ca_market,,88863840,MOGO.TO,TSX
MOGO.WT,Mogo Inc WT,,,,,,,,,,,,,MOGO.WT.TO,TSX
MOZ,Marathon Gold Corp,Basic Materials,Gold,EQUITY,,https://www.marathon-gold.com,https://logo.clearbit.com/marathon-gold.com,TOR,MARATHON GOLD CORPORATION,Marathon Gold Corporation,ca_market,,353973600,MOZ.TO,TSX
MPC,Madison Pac Cl B,Real Estate,Real Estate Services,EQUITY,,https://madisonpacific.ca,https://logo.clearbit.com/madisonpacific.ca,TOR,MADISON PAC CL B,Madison Pacific Properties Inc.,ca_market,,389994784,MPC.TO,TSX
MPC.C,Madison Pacific Properties Inc Cl C NV,,,EQUITY,,,,,,Madison Pacific Properties Inc.,,,,MPC.C.TO,TSX
MPCF,Mackenzie Portfolio Completion ETF,,,ETF,,,,TOR,MACKENZIE PORTFOLIO COMPLETION ,Mackenzie Portfolio Completion ETF,ca_market,Mackenzie Financial Corporation,,MPCF.TO,TSX
MPCT.DB.A,Dream Impact Trust 5.75%,,,,,,,,,,,,,MPCT.DB.A.TO,TSX
MPCT.UN,Dream Impact Trust Units,,,,,,,,,,,,,MPCT.UN.TO,TSX
MPVD,Mountain Province Diamonds Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.mountainprovince.com,https://logo.clearbit.com/mountainprovince.com,TOR,MOUNTAIN PROVINCE DIAMONDS INC,Mountain Province Diamonds Inc.,ca_market,,115999952,MPVD.TO,TSX
MR.DB.A,Melcor REIT 5.25 Pct Debs,,,,,,,,,,,,,MR.DB.A.TO,TSX
MR.DB.B,Melcor REIT 5.1 Pct Debs,,,,,,,,,,,,,MR.DB.B.TO,TSX
MR.UN,Melcor REIT,,,,,,,,,,,,,MR.UN.TO,TSX
MRC,Morguard Corp,Real Estate,Real Estate—Diversified,EQUITY,,https://www.morguard.com,https://logo.clearbit.com/morguard.com,TOR,MORGUARD CORP.,Morguard Corporation,ca_market,,1162784384,MRC.TO,TSX
MRD,Melcor Dev,Real Estate,Real Estate—Development,EQUITY,,https://www.melcor.ca,https://logo.clearbit.com/melcor.ca,TOR,MELCOR DEV,Melcor Developments Ltd.,ca_market,,333416256,MRD.TO,TSX
MRE,Martinrea International Inc,Consumer Cyclical,Auto Parts,EQUITY,,https://www.martinrea.com,https://logo.clearbit.com/martinrea.com,TOR,MARTINREA INTERNATIONAL INC.,Martinrea International Inc.,ca_market,,762873600,MRE.TO,TSX
MREL,Middlefield Real Estate Dividend ETF,,,ETF,,,,TOR,MIDDLEFIELD REAL ESTATE DIVIDEN,Middlefield Real Estate Dividend ETF,ca_market,Middlefield Limited,,MREL.TO,TSX
MRG.DB.A,Morguard Na REIT 4.50 Pct Debs,,,,,,,,,,,,,MRG.DB.A.TO,TSX
MRG.UN,Morguard Na Residential REIT Units,,,,,,,,,,,,,MRG.UN.TO,TSX
MRT.DB.A,Morguard REIT 5.25 Pct Debs,,,,,,,,,,,,,MRT.DB.A.TO,TSX
MRT.UN,Morguard Un,,,,,,,,,,,,,MRT.UN.TO,TSX
MRU,Metro Inc,Consumer Defensive,Grocery Stores,EQUITY,,https://www.metro.ca,https://logo.clearbit.com/metro.ca,TOR,METRO INC,Metro Inc.,ca_market,,16662077440,MRU.TO,TSX
MRV,Nuvo Pharmaceuticals Inc,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.miravohealthcare.com,https://logo.clearbit.com/miravohealthcare.com,TOR,NUVO PHARMACEUTICALS INC,Nuvo Pharmaceuticals Inc.,ca_market,,8768760,MRV.TO,TSX
MSA,Mineros S.A.,Basic Materials,Gold,EQUITY,,https://www.mineros.com.co,https://logo.clearbit.com/mineros.com.co,TOR,MINEROS SA,Mineros S.A.,ca_market,,168265904,MSA.TO,TSX
MSRE.UN,Sustainable Real Estate Dividend Fund,,,,,,,,,,,,,MSRE.UN.TO,TSX
MSV,Minco Silver Corp,Basic Materials,Silver,EQUITY,,https://www.mincosilver.ca,https://logo.clearbit.com/mincosilver.ca,TOR,MINCO SILVER CORP.,Minco Silver Corporation,ca_market,,10679392,MSV.TO,TSX
MTAV,Horizons Global Metaverse Index ETF,,,ETF,,,,TOR,HORIZONS GLOBAL METAVERSE INDEX,Horizons Global Metaverse Index ETF,ca_market,Horizons ETFs Management (Canada) Inc,,MTAV.TO,TSX
MTL,Mullen Group Ltd,Industrials,Trucking,EQUITY,,https://www.mullen-group.com,https://logo.clearbit.com/mullen-group.com,TOR,MULLEN GROUP LTD.,Mullen Group Ltd.,ca_market,,1319107328,MTL.TO,TSX
MTL.DB,Mullen Group Ltd 5.75 Pct Debs,,,,,,,,,,,,,MTL.DB.TO,TSX
