date,open,high,low,close,volume,average,barCount
2025-09-26 12:50:00-04:00,255.79,255.81,255.74,255.75,13970.0,255.776,94
2025-09-26 12:51:00-04:00,255.75,255.81,255.72,255.81,19420.0,255.749,106
2025-09-26 12:52:00-04:00,255.81,255.93,255.81,255.88,59309.0,255.886,319
2025-09-26 12:53:00-04:00,255.88,255.91,255.83,255.89,40445.0,255.88,144
2025-09-26 12:54:00-04:00,255.9,256.05,255.88,256.03,71247.0,255.979,303
2025-09-26 12:55:00-04:00,256.02,256.11,255.99,256.08,58108.0,256.054,215
2025-09-26 12:56:00-04:00,256.07,256.15,256.0,256.15,29026.0,256.065,151
2025-09-26 12:57:00-04:00,256.15,256.3,256.12,256.29,58746.0,256.217,313
2025-09-26 12:58:00-04:00,256.29,256.4,256.25,256.37,93778.0,256.336,491
2025-09-26 12:59:00-04:00,256.36,256.39,256.29,256.34,30232.0,256.344,174
2025-09-26 13:00:00-04:00,256.33,256.43,256.21,256.24,42110.0,256.33,255
2025-09-26 13:01:00-04:00,256.24,256.33,256.2,256.28,42312.0,256.26,260
2025-09-26 13:02:00-04:00,256.31,256.38,256.3,256.31,21077.0,256.344,112
2025-09-26 13:03:00-04:00,256.31,256.37,256.26,256.28,26072.0,256.326,172
2025-09-26 13:04:00-04:00,256.28,256.28,256.22,256.25,40009.0,256.237,152
2025-09-26 13:05:00-04:00,256.24,256.34,256.21,256.29,36302.0,256.29,202
2025-09-26 13:06:00-04:00,256.29,256.42,256.28,256.4,35184.0,256.355,194
2025-09-26 13:07:00-04:00,256.42,256.43,256.32,256.36,27129.0,256.386,159
2025-09-26 13:08:00-04:00,256.37,256.47,256.36,256.43,55297.0,256.439,345
2025-09-26 13:09:00-04:00,256.43,256.54,256.4,256.5,52905.0,256.464,289
2025-09-26 13:10:00-04:00,256.5,256.56,256.49,256.53,32049.0,256.525,184
2025-09-26 13:11:00-04:00,256.52,256.69,256.51,256.66,61284.0,256.608,321
